character	index	digits	pdf_page
礞	7994	132511224511353334	544
礌	7995	132511452444425121	544
𥖨	7996	132512512512511234	544
蹢	7997	251212141432512251	546
蹜	7998	251212144532132511	546
蟫	7999	251214125221251112	546
䗴	8000	251214314314312154	546
嚚	8001	251251125125251251	546
髃	8002	255452511251125214	547
镮	8003	311152522112513534	547
镱	8004	311154143125114544	548
酂	8005	312135312135253452	548
馧	8006	312342511251125221	548
簠	8007	314314125112425221	548
簝	8008	314314134432511234	548
簰	8009	314314321532511312	548
鼫	8010	321511544544513251	549
鼩	8011	321511544544535251	549
皦	8012	325113251141533134	549
臑	8013	351114524444132522	549
䲢	8014	351143113435251211	549
鳑	8015	352512114143454153	550
鳒	8016	352512114315112234	550
鹱	8017	354511223241112154	550
鹯	8018	412525112511135451	550
